lang	text_newlines	text_wcwords	text_bytes	docs
aa	474692	1504184	11398297	7135
ab	1438388	2066098	89235960	17247
af	43792503	260523405	1771209454	253866
ak	261875	1200086	7789683	3541
am	19708152	49403677	1204538584	117045
ar	2970746064	4150146602	190714047744	20045224
as	13985073	33326328	952820532	81480
ay	627364	1993179	15897554	4831
az	209519864	1041978166	9102452086	1217163
ba	4234654	7613674	287006678	33213
be	67207372	97791447	4463531306	432825
bg	1530967973	2417126306	93485121391	8311540
bh	2206986	5168729	169738751	16923
bi	540434	2906907	17684510	6378
bn	477891825	745847844	39381304538	2906664
bo	7377780	17575285	1020661573	60638
br	8806375	38596604	264446938	86475
bs	125139231	648013676	4786063340	804300
ca	1106599041	6211762426	41736490814	7307838
ceb	9029831	35928179	238530073	58080
chr	39929	111281	2655232	447
co	15820477	78381781	572335879	95661
crs	1679400	6926438	50413406	8176
cs	6654564945	29549688669	219657898805	34310682
cy	46401786	238478849	1615241710	307927
da	2586054048	11457350820	80368811017	13756691
de	29861049511	143945608492	1116475536687	176917361
dv	4064032	5154109	316994663	50101
dz	727668	1392209	47286847	5302
el	3722364563	6344745081	212017080014	17854258
en	207635246907	1195444983507	7904781958100	1303529246
eo	27203836	128820460	973862414	221478
es	19783355420	123249504021	820156449730	126716973
et	756979719	2998608337	24467750438	4175956
eu	147506523	625339713	4931415984	1104715
fa	3734337307	3150908670	212497934289	19835531
fi	2454188784	9842724896	87698482718	12629428
fj	793656	5682275	34462251	5924
fo	18078745	66998867	508081163	123304
fr	22903172762	132526865206	914235186716	139834191
fy	9054014	46362490	314759509	94007
ga	34326164	191054858	1318129792	213734
gd	7800787	63979542	429503862	56151
gl	237777184	1188582700	8196939497	1776941
gn	4806816	19367718	140124567	48262
gu	94064269	211078770	5357565905	396614
gv	1263642	5083941	36863128	18523
ha	13035604	85593311	519613173	89199
haw	3860125	19225609	122356624	28617
hi	915650806	2429738507	69676855961	5457878
hmn	2698459	22913841	124374541	15181
hr	1071726038	5649239492	39944084594	6173219
ht	6832037	36902946	230390106	50431
hu	3793350216	21293027682	184594659092	18835057
hy	140692168	225313831	9637935400	920868
ia	2676400	12664747	101544579	29515
id	3734309996	27993139008	198368983727	25396391
ie	12996522	75454992	549815552	33029
ig	2877651	13700362	94270285	15154
ik	584938	1870388	16857700	5287
is	196601897	782426140	6160628310	1238555
it	12024710431	72307676390	498214566690	75338759
iu	1086996	3873273	58352782	9481
iw	560148949	908735542	32860518640	3539103
ja	25079628269	22977443458	1125942184139	139760311
jw	6197946	29735711	224510300	44617
ka	162214877	259858208	13470369432	1065203
kha	2982486	12464002	80373987	14785
kk	82984675	115031515	5893714152	579045
kl	3880330	12674063	132258601	35155
km	45566639	80215364	5284247998	345122
kn	66869214	149529839	5319412422	394367
ko	3613413333	5106519786	135416306729	19258052
ks	59843	84791	5143449	238
ku	19053773	20236098	1228523827	145793
ky	19504165	30097581	1260114814	123799
la	678618870	3950236038	27028659168	7157392
lb	14185871	58939519	439975698	111793
lg	985417	5777818	39791684	8313
lif	437	1095	13825	7
ln	1297766	4740810	30342574	13703
lo	16375140	25417494	1172746712	129801
lt	928299311	4112318229	34133660856	4870101
lv	507971695	2237195061	18552645340	2511737
mfe	531998	1969304	15047207	8661
mg	14485022	65934114	507765898	90184
mi	13712858	69984517	441232963	70169
mk	133583166	202627399	8895295460	894422
ml	122543405	306439822	10650907939	734237
mn	92227815	211661721	8133316502	645135
mr	96404819	217704209	8386866579	681473
ms	615657462	3368570174	23079785199	3032009
mt	23985373	123993415	985221630	134387
my	62217281	139060948	5356730019	405767
na	1004939	2213055	18047629	5834
ne	100923071	145779614	9598848338	854810
nl	9851390356	46360792622	324988541876	61584282
nn	109918286	402991230	2995985345	581065
no	1646643214	8416419570	57997268232	9891840
nr	1243	2608	21654	31
nso	122670	496427	3225564	1474
ny	2491716	10711211	80342437	23983
oc	12836858	65280410	500656088	91446
om	2304923	15945958	118079513	18510
or	17781983	34183778	1358107371	135181
pa	25471793	66311534	2106271205	176281
pl	9814711583	46040438243	347412131785	51056517
ps	9261914	10871344	539012433	71332
pt	6220054924	35641026123	243031281240	35813409
qu	1433391	5608947	45945702	17048
rm	7666071	28708085	194266771	49962
rn	420485	1940486	13726867	3098
ro	3180366107	18646643417	128420387630	16258700
ru	33859564732	48598075592	2237772461698	163993406
rw	12290925	79420598	535905096	78926
sa	35252009	140288589	1661024858	134479
sco	12186719	48183978	342786213	80212
sd	4841360	6633581	242967940	37157
sg	418291	1386573	10878500	4965
si	55065303	155964563	4580974277	292630
sk	2640820868	11089464077	83605105585	11572219
sl	892635284	4231063856	29923409268	4727745
sm	1847807	11188585	67485617	14052
sn	2990939	11715771	91535128	20356
so	17135187	109575878	736698349	131019
sq	212469350	1192500753	8025072459	1325258
sr	1095990186	4742457226	45516662186	6167545
ss	322145	1189004	8686696	3186
st	1807958	10084550	63212286	13543
su	2132844	12205084	86671471	17867
sv	3828209988	18099511278	129113061477	20673216
sw	37477153	208871381	1349116272	246089
syr	1285513	2977821	65156097	12243
ta	270545241	729808041	25738115369	1418182
te	98782022	260778620	7807508519	599546
tg	20654447	31538888	1737975174	119076
th	1718271437	3515657646	159436776198	13046576
ti	4590298	10124077	224617325	30556
tk	13438082	47770210	451455269	76838
tl	66265766	578388747	3607122651	396063
tlh	183444	774238	5129901	3324
tn	403695	1895110	12518277	4977
to	250779	1123286	7212244	3800
tr	4291637586	21580086149	172243626939	25828530
ts	277002	961913	6384338	2291
tt	20526908	32861149	1147334747	145037
ug	17247547	8170910	752468297	34999
uk	1711432237	2332775260	102225258235	9746284
ur	117254171	196297687	7423456403	889062
uz	67991689	240403824	3725629811	429876
ve	51501	360002	2374542	1219
vi	5752573997	46670017832	288080901017	31021734
vo	1740168	5802743	43454407	19838
war	60960357	184455773	1419277728	274363
wo	1027443	3626452	23635262	7384
xh	55460391	160180756	1510132376	43898
xx-Avst	208	544	6530	8
xx-Bali	14093	29011	764870	194
xx-Bamu	5116	4279	70872	25
xx-Batk	198	250	2158	2
xx-Bopo	42023	160141	2059336	940
xx-Brah	807	1431	11758	2
xx-Bugi	686	1604	24577	9
xx-Cakm	2320	4365	39116	10
xx-Cari	91	24	507	1
xx-Cham	134	431	3360	2
xx-Copt	59540	172304	2937730	376
xx-Cprt	174	257	2092	1
xx-Dsrt	1793	4225	54116	56
xx-Egyp	19076	10712	208137	32
xx-Glag	170	201	3233	2
xx-Goth	4613	3539	116543	14
xx-Ital	313	335	4949	3
xx-Java	8988	15875	429485	62
xx-Kali	2868	4737	348587	25
xx-Khar	344	523	4924	3
xx-Kthi	160	164	2284	3
xx-Lana	12535	28000	559550	88
xx-Lepc	265	485	5575	7
xx-Lisu	8493	28842	453001	113
xx-Lyci	441	968	8808	12
xx-Lydi	26	68	657	1
xx-Mand	328	1312	10635	4
xx-Mtei	107457	124504	5115033	1369
xx-Nkoo	50547	76669	4008973	259
xx-Ogam	543	3658	32383	9
xx-Olck	341308	533923	18847492	2282
xx-Orkh	912	18535	205458	3
xx-Osma	725	1900	20105	28
xx-Phag	63	24	948	1
xx-Phli	26	73	723	1
xx-Phnx	2349	4428	41836	6
xx-Plrd	171	142	8226	3
xx-Qaai	2318	41446	506172	64
xx-Runr	11829	46863	418948	124
xx-Samr	901	3535	28182	10
xx-Saur	5665	8984	79500	41
xx-Shaw	320	17697	214122	4
xx-Sund	182	428	13925	6
xx-Sylo	12624	30742	451749	164
xx-Tagb	191	318	2873	2
xx-Tale	661	1772	14319	8
xx-Talu	1800	4962	58288	52
xx-Tavt	2402	9585	135217	18
xx-Tfng	198131	412081	25641308	1356
xx-Ugar	360	568	5711	8
xx-Vaii	3581	5590	48937	10
xx-Xpeo	639	1509	17705	20
xx-Xsux	14423	15086	297004	117
xx-Yiii	52127	37082	403416	84
yi	6194047	10650195	316513395	41467
yo	2739485	15378238	102862482	21847
za	77139	227729	1584051	1102
zh	12479904067	12849602297	759806544397	98241183
zh-Hant	3773458618	3849315760	138385686517	22756621
zu	8308699	31991809	269085364	50643
zzp	2595386	10340037	73543220	39905
