aa	406375	2490897	20742708	9194
ab	109597	378456	3192535	1986
af	52681471	249371257	1660973090	197504
ak	1539379	3889940	23796852	16203
am	7111459	40032388	244816374	48869
ar	3102947388	14616193275	93224711067	13767882
as	1173107	7612421	53169380	10120
ay	69787	282798	2268370	2438
az	259057475	1282682828	9485870417	1163976
ba	370406	2528490	18997961	3634
be	70671372	286943374	2107748554	267985
bg	2475974124	10729600895	70511545350	9648342
bh	431888	3165475	20430990	7625
bi	386672	3336643	20413853	6551
bn	432079147	1994727701	13410693623	2442660
bo	3151217	7948798	141887160	26777
br	2262749	12858694	81640515	27884
bs	60145429	350498205	2419475157	559653
ca	631107033	3559561340	23613838575	4150444
ceb	7096553	32202718	197453027	28825
chr	20847	106716	586626	360
co	58796648	128974401	867991097	224304
crs	2246005	7121677	50241115	20364
cs	4575443436	17782600787	118811803978	21079575
cy	10965952	53881326	354221450	94798
da	3521557539	13898251553	93078428991	52993377
de	22574174356	106213039422	807489380864	148650904
dv	909610	5882104	53808049	12782
dz	464656	1246057	10530706	4420
el	2383788564	9906958622	70821502766	10361946
en	580258508093	2814307950899	19101132972110	4840164246
eo	4575815	28701099	193432164	34457
es	16595756740	83225389808	541356046298	91280795
et	581944385	2137395164	16383340055	2836780
eu	32088532	138110479	1050938427	279896
fa	4191640721	25923862083	142532259605	19283885
fi	2044325998	6257692377	51127190552	7999116
fj	222489	1096321	8008421	4753
fo	7199662	26372723	175690862	56603
fr	42881216201	184954309686	1144278772800	99722732
fy	9454172	60904180	456621557	67542
ga	30121580	124347468	812454781	228660
gd	6137537	25523238	207106030	58627
gl	77994634	362268845	2336200357	637725
gn	4125146	20312624	146017173	52468
gu	15764376	89079250	567484878	119129
gv	3123574	13176684	99291240	40230
ha	3728411	17001506	109012449	29126
haw	5711658	20039579	124942321	49341
hi	759628205	4268916425	25330604952	4334332
hmn	2325335	10562345	61590326	16048
hr	635250474	3053353657	22258522859	3463844
ht	5006934	31433776	173660074	41581
hu	3151403087	11016895940	82970952913	13209322
hy	83825283	360149261	2833973714	547718
ia	6881216	31986566	212851589	53515
id	4203328830	59689107014	433402721755	24332266
ie	168867666	1121556907	7538318093	301700
ig	1735278	6519025	40510418	9221
ik	110887	636367	5681041	3158
is	120486629	437376750	2969246035	407926
it	7177988776	37335424835	247897238675	28860838
iu	313340	1348800	10251216	3074
iw	1086690260	4749602956	28644400263	5463218
ja	23194471172	41937879537	437520655303	123839337
jw	11228753	69232676	483059372	69252
ka	88007854	524871728	3999262742	496803
kha	6364384	29916642	176601328	28965
kk	78552179	353102070	2744385562	308190
kl	506181	2013912	21660648	9182
km	33325857	99869927	1007977718	233778
kn	27234341	111171485	818723088	135790
ko	10365383360	29378856489	154062538093	52498338
ks	18375	232009	1174100	144
ku	8023036	50793499	350731507	69283
ky	5169427	21943564	169624734	28982
la	720276381	3785763308	25263580523	6570409
lb	15359002	57059482	395555740	107970
lg	558906	2896605	23684668	7407
lif	555	1554	9902	8
ln	1965459	8141685	52629356	17971
lo	29512532	70056393	648782274	69164
lt	733322031	2886924551	21838303006	3680345
lv	685467504	2425845331	17946164283	2694332
mfe	2423961	9983036	62944434	23013
mg	7435737	45774051	311753973	46055
mi	4779868	24394015	151169171	28864
mk	86340027	406793614	2692035369	385794
ml	69623909	437681401	3658741354	351437
mn	45386204	201538991	1450264432	319828
mr	48020197	227998776	1601950657	250397
ms	860757014	3276660504	21384518072	3511448
mt	83385114	209241317	1383246487	188094
my	72131630	333180182	2243658346	183184
na	1457165	4415495	27583848	19645
ne	52591207	345018569	2297092989	564893
nl	13973123727	50339028391	368554163689	39199557
nn	39648168	150952751	1008357130	246884
no	1733976768	5849140056	39307913051	6348935
nr	620	5147	74956	25
nso	43337	423372	3125204	1133
ny	1956829	10677064	74213985	12792
oc	5688552	23888378	161312085	34812
om	2011245	9695305	69968913	22869
or	3394975	16617329	109347516	37801
pa	28893010	139434374	807201621	244965
pl	6764903437	25997393962	186819152546	30587917
ps	30285881	139758686	734422135	120090
pt	12603198117	65541700395	426734065564	66552187
qu	714679	3562008	24041129	7230
rm	6631346	21531755	144335446	115534
rn	395064	1378482	10662840	6285
ro	1800174275	7874514892	52042738370	7657671
ru	20656749376	83918372824	613091059746	103295859
rw	12500757	77786385	510111666	56818
sa	14510575	70605912	528561188	103054
sco	17596650	63458793	409447938	176264
sd	2963810	16823231	92555317	18943
sg	534831	1844231	13986474	1875
si	19195571	132940613	931138501	123519
sk	2779595084	9038611569	61538716850	12068052
sl	420154385	1832369704	12480338375	2059115
sm	2169237	8901772	56841020	15871
sn	1869300	7443142	55495921	12439
so	16464518	104681046	709384462	156681
sq	155999694	1058384136	6864062700	969609
sr	1069365003	3695283931	28522903483	3390152
ss	754508	2243894	14444566	12009
st	2500351	9998953	67787146	24917
su	2164440	8680333	60328949	42883
sv	2297763304	9398006113	63364505060	11470992
sw	12112760	60179754	405534700	96898
syr	48237	309515	1971118	796
ta	182832110	840855962	7028287698	589233
te	39123774	203431711	1554345750	319801
tg	5068119	29217991	209292842	41053
th	13646278439	24117792175	159700572742	16347238
ti	1129915	6611669	49283117	7844
tk	8543331	29202362	201067084	30383
tl	87778434	432920977	2741289666	354102
tlh	2378403	6664145	42661661	34723
tn	330006	1512533	11433188	10844
to	252230	1253639	10298530	3024
tr	9509860693	47736202229	352272024328	41890874
ts	268889	1325195	8742769	3832
tt	4495336	17666782	121051981	25676
ug	18612395	73239286	513967635	76613
uk	1107293634	4909919655	35714239178	5021826
ur	148256563	603102790	3178043752	541082
uz	20599855	101303336	786172818	167512
ve	27296	127875	979922	1582
vi	10988268554	59082044042	294413505951	36696104
vo	9108042	22464193	162047803	64101
war	378738921	1147948469	8259377576	1356614
wo	3005002	9721753	71264401	82093
xh	10815464	35771008	288396305	60771
xx-Avst	233	470	2511	2
xx-Bali	162	243	952	1
xx-Bamu	13104	15662	57679	9
xx-Batk	94	175	789	1
xx-Bopo	2593	4832	26327	26
xx-Brah	301	544	2686	2
xx-Cakm	250	487	2556	2
xx-Cari	94	175	800	1
xx-Cham	575	1696	8906	4
xx-Copt	2109	39151	305021	20
xx-Cprt	94	179	855	1
xx-Dsrt	1049	7235	38700	12
xx-Egyp	11840	14503	61600	17
xx-Glag	8975	35041	216384	36
xx-Goth	1204	4212	27916	5
xx-Ital	216	488	2581	2
xx-Java	1054	3530	28641	13
xx-Kali	862	4375	30457	20
xx-Khar	267	513	2760	2
xx-Kthi	111	192	838	1
xx-Lana	8511	84496	379101	248
xx-Lepc	260	1775	10647	3
xx-Linb	324	502	2024	2
xx-Lisu	515	2079	12580	16
xx-Lyci	195	426	2330	2
xx-Lydi	187	414	2271	2
xx-Mand	14	77	352	1
xx-Merc	267	544	2961	2
xx-Mero	199	471	2962	2
xx-Mtei	906	2203	14111	6
xx-Nkoo	148605	573497	3871425	1100
xx-Ogam	207	545	7780	5
xx-Olck	12055	64751	445572	139
xx-Orkh	2795	3182	13788	4
xx-Osma	77	158	767	1
xx-Phag	94	175	804	1
xx-Phnx	135	286	1806	1
xx-Plrd	4242	4755	19650	5
xx-Qaai	559	2556	16115	137
xx-Rjng	77	158	757	1
xx-Runr	5782	21328	119942	47
xx-Samr	186	588	5051	3
xx-Sarb	60	149	779	1
xx-Saur	661	835	4503	3
xx-Shaw	200	611	3413	4
xx-Shrd	2679	2843	11893	3
xx-Sora	77	162	792	1
xx-Sund	99	233	1150	2
xx-Sylo	666	1919	11906	3
xx-Takr	2662	2826	11845	3
xx-Tale	163	278	1783	5
xx-Talu	11584	140954	604320	327
xx-Tavt	701	5432	23961	14
xx-Tfng	47980	171442	1047551	484
xx-Ugar	60	141	734	1
xx-Vaii	366	447	1371	1
xx-Xpeo	94	179	825	1
xx-Xsux	10547	13389	56769	9
xx-Yiii	11158	15227	125258	82
yi	6005241	29708034	187792128	26488
yo	1472835	6856308	41883247	9587
za	37943	246956	1845146	2215
zh	303687588904	724391088101	7350953570626	4038877747
zh-Hant	37242085305	58933066659	827834336829	327533068
zu	2200593	8415673	63861294	13488
zzp	9027408	29940821	206828442	73442
